SMILES,IE,EA,n_F,n_O
NC(=S)C(N)=S,6.272278843,3.489909331,0,0
O=C(O)CCC(=O)O,7.950459475,1.219280118,0,4
O=c1n(-c2ccccc2)c(=O)n2n1[C@H]1C=C[C@@H]2[C@H]1O,6.13596648,3.502597319,0,3
N#Cc1c(O)cc(S(=O)(=O)c2ccccc2)c(O)c1C#N,6.711891242,3.414156822,0,4
C=CC(=O)NC(C)(C)CS([O])([O])O,7.216226217,2.291316246,0,4
C/C=N/O,7.053610171,2.370556751,0,1
CCCCCCCS[C@@H](F)C(=O)OCC,6.767907672,2.221339157,1,2
C=CC[C@@H](O)c1cccc(C)c1,6.417922943,1.162324229,0,1
Fc1c(F)c(F)c(Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,6.810394397,2.588323442,10,0
Fc1cc(F)c(F)c(F)c1F,7.232067841,2.292809449,5,0
CC(=O)c1ccc(Cl)c(Cl)c1,7.064684018,2.64305018,0,1
CC(C)(C)/C=C/C(=O)C(C)(C)C,6.803515297,2.138658526,0,1
Clc1ccc2[nH]nnc2c1,6.673727418,2.182256527,0,0
N#Cc1ccc(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,7.370470104,2.190973898,11,0
C[C@@H]1CCC(=O)N1C(=O)[C@H](O)c1ccccc1,6.632415438,2.113531837,0,3
c1ccc2c(c1)CC[C@H]1CCCC[C@@H]21,6.304101928,0.737071111,0,0
O=Nc1c(F)c(F)c(F)c(F)c1F,6.583060698,4.088926256,5,1
N#CN(c1ccccc1)c1ccccc1,6.083653188,1.428063403,0,0
N#C[C](C#N)C#N,5.815910899,0.594349169,0,0
[Cl],6.675832404,-0.026678833,0,0
Cc1ccc(S(=O)(=O)N2CCCCC2=O)cc1,6.813022144,2.954490433,0,3
c1ccc(CNc2ccccc2)cc1,5.280711934,1.003366356,0,0
CO[C@H](SCC(F)(F)F)c1ccccc1,6.662331116,2.834964149,3,1
