SMILES,Dielectric,n_F,n_O,MolWt
O=C1CCCCC1,16.1,0,1,98.07316494
CO,33,0,1,32.02621475
CCO,-126.114,0,1,46.04186481
C1CCOC1,7.6,0,1,72.05751488
C1COCCO1,2.2,0,2,88.0524295
C=[SiH2],9.72,0,0,44.00822666
COC(=O)[C](C)C,3.6,0,2,101.0602545
C=CC(=O)[O-],3.7,0,2,71.01385292
O=C(CCCN1C(=O)C=CC1=O)ON1C(=O)CCC1=O,,0,6,280.0695361
CCCCO,13.9,0,1,74.07316494
C=CCl,3.4,0,0,61.99232778
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,,0,5,270.0528234
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.76,18,0,437.971258
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,1.94,18,0,461.971258
C1CCOCC1,5.66,0,1,86.07316494
CCOCC,7.79,0,1,74.07316494
ClC(Cl)Cl,4.81,0,0,117.9143831
CCOC(C)=O,6.02,0,2,88.0524295
COC(C)=O,6.68,0,2,74.03677943
CCC(C)O,16.6,0,1,74.07316494
CC(C)O,18,0,1,60.05751488
CCCO,20.8,0,1,60.05751488
CC(C)=O,20,0,1,58.04186481
OCCO,37.7,0,2,62.03677943
CC#N,-126.1155,0,0,41.0265491
CS(C)=O,47,0,1,78.01393581
C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,,0,14,580.1792057
Cc1ccccc1,2.43,0,0,92.06260026
c1ccccc1,2.28,0,0,78.04695019
CCOc1ccc(/C=C/C(=O)OC)cc1CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1c(F)cccc1Cl)C(C)C,,1,8,650.186493
FOF,5.9,2,1,53.99172106
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,65.4,0,11,342.1162115
CCCCCCCC/C=C\CCCCCCCC(=O)O,2.5,0,2,282.2558803
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,,0,2,280.2402303
CCCCCCC,1.9,0,0,100.1252005
O=C=O,2.5,0,2,43.98982924
O=[Si]=O,4.5,0,2,59.96675577
C=C(C)C(=O)OCCO,2,0,3,130.0629942
Oc1ccccc1,15,0,1,94.04186481
O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12,,0,6,286.047738
NCCCCNCCCN,,0,0,145.1578976
CC[n+]1ccn(C)c1,,0,0,111.0916748
CCCC[n+]1ccn(C)c1,40,0,0,139.1229749
CCCCCC[n+]1ccn(C)c1,,0,0,167.154275
CCCCCCCC[n+]1ccn(C)c1,,0,0,195.1855752
CCCCCCCCCC[n+]1ccn(C)c1,,0,0,223.2168753
CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,9,0,5,403.1168206
CBN,6.45,0,0,43.05932959
C=Cc1ccccc1,2,0,0,104.0626003
O=P(Cl)(Oc1ccccc1)Oc1ccccc1,16.75,0,3,268.0056085
COC(=O)OC(=O)OC,4,0,5,134.0215233
CCCCCCCCO,10.34,0,1,130.1357652
CCCCC(CC)CO,7.611,0,1,130.1357652
CC(=O)CC(C)C,2.02,0,1,100.088815
CC(C)CCC(=O)[O-],,0,2,115.0764532
NCCNCCN,12.63,0,0,103.1109474
FC(F)(F)C(Cl)Cl,,3,0,151.9407401
FC(F)(F)C(F)(F)C(Cl)Cl,3.8,5,0,201.9375465
FC(Cl)C(F)(F)C(F)(F)Cl,4.4,5,0,201.9375465
CCCCCCCCCCCCCCCC(=O)O,3876,0,2,256.2402303
ClC(Cl)(Cl)Cl,2.24,0,0,151.8754107
CN(C)C=O,37.06,0,1,73.05276384
C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1,,0,8,512.2410181
C1CCCCC1,2,0,0,84.09390038
ClCCl,8.93,0,0,83.95335542
CCCCCC,1.88,0,0,86.10955045
C[Si](C)=O,2.5,0,1,74.01879134
CCCC(=O)CC(=O)[O-],16,0,3,129.0557177
CCCCCCCCCC(=O)O,2169,0,2,172.1463299
CN(CCO)CCO,2.77,0,2,119.0946287
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,3.21,0,6,884.783291
C=CC,1.23,0,0,42.04695019
CCCCCCCCc1ccccc1,2.26,0,0,190.1721507
CCCCCCCCCCCCCC,2.06,0,0,198.234751
CCCCCCCCC(O)CCC,4,0,1,186.1983655
NCCNCCNCCN,0.1435,0,0,146.1531466
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,,0,1,232.0170183
O=C(CS)OCCOC(=O)CS,,0,4,210.0020508
c1ccc2c(c1)-c1nc3nc(nc4[nH]c(nc5[nH]c(nc-2n1)c1ccccc51)c1ccccc41)-c1ccccc1-3,8.85,0,0,514.1654426
NCCO,13.6,0,1,61.05276384
CNCCO,,0,1,75.06841391
CCCCNCCO,,0,1,117.1153641
CCC(=O)O,3.2,0,2,74.03677943
CC(=O)O,6.2,0,2,60.02112937
O=Cc1ccccc1,17.8,0,1,106.0418648
O=C([O-])[O-],64.92,0,3,59.98584102
