SMILES,LogVis,n_F,n_O,MolWt
CCCCC,-0.64,0,0,72.09390038
C(C)CCCC,-0.53,0,0,86.10955045
CCCCCCC,-0.41,0,0,100.1252005
CCCCCCCC,-0.29,0,0,114.1408506
CCCCCCCCC,-0.18,0,0,128.1565006
CCCCCCCCCC,-0.07,0,0,142.1721507
CCCCCCCCCCC,0.04,0,0,156.1878008
CCCCCCCCCCCCC,0.23,0,0,184.2191009
CCCCCCCCCCCCCCC,0.4,0,0,212.250401
CCCCCCCCCCCCCCCC,0.49,0,0,226.2660511
CCCCCCCCCCCCCCCCC,0.56,0,0,240.2817012
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,1.47,0,0,422.485152
CC(C)(C)CC,-0.47,0,0,86.10955045
CC(C)C(C)C,-0.48,0,0,86.10955045
CC(C)(C)C(C)C,-0.26,0,0,100.1252005
CC(C)(C)CCC,-0.51,0,0,100.1252005
CC(C)CCCC,-0.46,0,0,100.1252005
CC(C)(C)C(C)CC,-0.24,0,0,114.1408506
CC(C)(C)CC(C)C,-0.33,0,0,114.1408506
CCC(CC)CCC,-0.37,0,0,114.1408506
CC(C)(CC(C)(C)C)C,-0.12,0,0,128.1565006
CCCCCC(C)C,-0.31,0,0,114.1408506
CCCCCCC(C)C,-0.2,0,0,128.1565006
CC(C)(C)CC(C)CCC,-0.28,0,0,142.1721507
CC(C)CC(C)CC(C)CCC,0.04,0,0,170.2034508
CC(C)CC(C)CC(C)CCCC,0.15,0,0,184.2191009
CC(C)CC(C)CC(C)CCCCCC,0.36,0,0,212.250401
CC(C)CC(C)CC(C)CCCCCCC,0.45,0,0,226.2660511
CC(C)CC(C)CC(C)CCCCCCCCC,0.62,0,0,254.2973512
CC(C)CC(C)CC(C)CCCCCCCCCCC,0.76,0,0,282.3286513
C1CCCC1,-0.39,0,0,70.07825032
C1CCCCC1,-0.05,0,0,84.09390038
C1CCCCCC1,0.14,0,0,98.10955045
C1CCCCCCC1,0.36,0,0,112.1252005
C(CCC1)(C1)C,-0.32,0,0,84.09390038
CCC1CCCC1,-0.28,0,0,98.10955045
CCCC1CCCC1,-0.19,0,0,112.1252005
C(CC1)CC1C(C)C,-0.19,0,0,112.1252005
C(CC1)CC1CC(C)C,-0.3,0,0,126.1408506
C(CCCC1)(C1)C,-0.17,0,0,98.10955045
CC1CCCC(C)C1,-0.17,0,0,112.1252005
CC1CCCCC1C,-0.11,0,0,112.1252005
CCCC1CCCCC1,-0.02,0,0,126.1408506
C(CCCC1)(C1)C(C)C,-0.01,0,0,126.1408506
C(CCCC1)(C1)CCCC,0.09,0,0,140.1565006
C(CCC1CC(C)C)CC1,0.05,0,0,140.1565006
C12CCCCC1CCCC2,0.48,0,0,138.1408506
C1=CCCC1,-0.64,0,0,68.06260026
CC1C=CCC1,-0.54,0,0,82.07825032
C1=CCCCC1,-0.21,0,0,82.07825032
C(=CCCC1)(C1)C,-0.38,0,0,96.09390038
C1=CC=CC=C1,-0.21,0,0,78.04695019
C1=CC=CC=C1C,-0.26,0,0,92.06260026
C1=C(C(=CC=C1)C)C,-0.12,0,0,106.0782503
C1=C(C=CC=C1C)C,-0.24,0,0,106.0782503
C1=CC(=CC=C1C)C,-0.22,0,0,106.0782503
C1=CC=CC=C1CC,-0.2,0,0,106.0782503
CC1=CC=CC(C)=C1C,-0.07,0,0,120.0939004
CC1=C(C)C=CC(C)=C1,-0.04,0,0,120.0939004
CC1=CC(C)=CC(C)=C1,-0.16,0,0,120.0939004
CCCC1=CC=CC=C1,-0.1,0,0,120.0939004
CCC1=C(CC)C=CC=C1,-0.05,0,0,134.1095504
CCC1=CC(CC)=CC=C1,-0.1,0,0,134.1095504
CCC1=CC=C(CC)C=C1,-0.05,0,0,134.1095504
CCCCC1=CC=CC=C1,-0.01,0,0,134.1095504
CC(C)CC1=CC=CC=C1,-0.09,0,0,134.1095504
CCC(C1=CC=CC=C1)C,-0.01,0,0,134.1095504
CC1=CC=CC=C1CC,-0.15,0,0,120.0939004
CC1=CC=CC(CC)=C1,-0.18,0,0,120.0939004
CC1=CC=C(CC)C=C1,-0.18,0,0,120.0939004
CCCCCCCCCCC1=CC=CC=C1,0.53,0,0,218.2034508
C1=CC=CC=C1C=C,-0.15,0,0,104.0626003
C2=C1CCCCC1=CC=C2,0.3,0,0,132.0939004
CO,-0.27,0,1,32.02621475
C(C)O,0.03,0,1,46.04186481
C(CO)C,0.28,0,1,60.05751488
CC(O)C,0.3,0,1,60.05751488
C(CCO)C,0.41,0,1,74.07316494
CC(O)CC,0.51,0,1,74.07316494
CC(C)CO,0.52,0,1,74.07316494
CC(C)(O)C,0.64,0,1,74.07316494
C(CCO)CC,0.54,0,1,88.088815
CC(C)CCO,0.56,0,1,88.088815
CCCCCCO,0.65,0,1,102.1044651
C(C(C)C)C(C)O,0.61,0,1,102.1044651
C(C(CC)CO)C,0.77,0,1,102.1044651
CCCCCCCO,0.76,0,1,116.1201151
CCCCCCCCO,0.88,0,1,130.1357652
C(C(CO)CC)CCC,0.8,0,1,130.1357652
CCCCCCCCCO,0.97,0,1,144.1514153
CCCCCCCCCCO,1.06,0,1,158.1670653
CCCCCCCCCCCO,1.16,0,1,172.1827154
CCCCCCCCCCCCO,1.21,0,1,186.1983655
C=CCO,0.08,0,1,58.04186481
C(OC)CO,0.18,0,2,76.0524295
OCC1=CC=CC=C1,0.72,0,1,108.0575149
C1=C(C)C=CC=C1O,1.1,0,1,108.0575149
C(CO)O,1.24,0,2,62.03677943
C(O)COCCO,1.47,0,3,106.0629942
C(C)OCCO,0.26,0,2,90.06807956
CC(O)COC,0.23,0,2,90.06807956
OCCOCCC,0.38,0,2,104.0837296
C(OCCO)CCC,0.46,0,2,118.0993797
OCCOCCOCC,0.59,0,3,134.0942943
OCCOCCOCCOC,0.83,0,4,164.104859
OCCOCCCCCC,0.65,0,2,146.1306798
C(C)CCOCCOCCO,0.71,0,3,162.1255944
OCCOCCOCCO,1.58,0,4,150.0892089
OCCOCCOCCCCCC,0.8,0,3,190.1568946
OCCOCCOCCOCCCC,0.95,0,4,206.1518092
C(OCC)C,-0.64,0,1,74.07316494
COCCCC,-0.49,0,1,88.088815
COC(C)(C)C,-0.47,0,1,88.088815
CCCOCC,-0.52,0,1,88.088815
CCCOCCC,-0.4,0,1,102.1044651
CC(OC(C)C)C,-0.46,0,1,102.1044651
O(C)CCCCC,-0.38,0,1,102.1044651
O(CCCC)CC,-0.39,0,1,102.1044651
CCCCOCCCC,-0.19,0,1,130.1357652
O(CCCCC)CCCCC,-0.01,0,1,158.1670653
C1(COCC2=CC=CC=C2)=CC=CC=C1,0.67,0,1,198.1044651
CC1CO1,-0.52,0,1,58.04186481
C1=COC=C1,-0.44,0,1,68.02621475
C1CCCO1,-0.33,0,1,72.05751488
COCCOC,-0.37,0,2,90.06807956
C1COCCO1,0.08,0,2,88.0524295
COCCOCCOC,-0.01,0,3,134.0942943
COCCOCCOCCOCCOC,0.52,0,5,222.1467238
C(OC)OC,-0.47,0,2,76.0524295
O(CC)COCC,-0.35,0,2,104.0837296
O(C(OCC)C)CC,-0.36,0,2,118.0993797
CC(OCCCC)OCCCC,0.08,0,2,174.1619799
O(C(OC(O1)C)C)C1C,0.04,0,3,132.0786442
CCOC(OCC)OCC,-0.17,0,3,148.1099444
