SMILES,EA,IE
CC1(C)CC(=O)N(c2cc(F)cc(F)c2)C1=O,1.488351,7.205338
CN(C)c1ncccc1C(=O)N1CCC(O)CC1C,1.579197,5.739209
Cc1nccnc1C(F)(F)F,2.223396,7.576567
COC(=O)C1CCCN(C(=O)c2cc(-c3ccc(F)cc3)[nH]n2)C1,1.563372,6.490306
CC(C)CN1C(=O)C(=Cc2ccc(OCc3ccccc3)cc2)C(=O)N1CC1CCC1,2.72933,5.727935
Cc1ccc(-c2nc(C(=O)Nc3c(F)cc(F)cc3Br)[nH]n2)cc1,2.133209,6.601312
O=C(NC(C(=O)N1CCC(C(=O)O)C1)C(F)F)OCC1c2ccccc2-c2ccccc2N1,1.23364,5.471733
CCOC(=O)c1cc(NC(=O)C2CCCN(C(=O)c3ccc(C)cc3)C2)ccn1,1.941833,6.779373
CC(F)(F)C(O)O,0.711792,7.806998
CC(=O)Nc1nc2cc(C(F)(F)F)ccc2[nH]1,1.457513,6.37685
